id,name,type,rarity,tags,buildTags,appearances,selections,choiceRate,upgradeRate,drawOpportunities,plays,drawnUseRate,selectedWinRate,averageContribution,playerRating
neutral_blank_pact,空白契约,能力,普通,抽牌/销毁,,284,77,0.2711267605633803,0,443,425,0.9593679458239278,0.7142857142857143,25.77922077922078,4.209610389610385
neutral_spark,碎星短刃,攻击,普通,销毁,,252,45,0.17857142857142858,0,206,202,0.9805825242718447,0.7804878048780488,18.878048780487806,4.156585365853657
neutral_sealed_thunder,封雷断页,攻击,史诗,眩晕/销毁,execution,244,117,0.47950819672131145,0,539,435,0.8070500927643784,0.6153846153846154,58.51282051282051,4.114615384615379
neutral_cold_iron_page,冷铁护页,防御,普通,庇护,oathblade,213,42,0.19718309859154928,0,649,270,0.41602465331278893,0.9285714285714286,14.063466553287975,4.149285714285713
neutral_bless,圣像微光,能力,普通,治愈,,184,1,0.005434782608695652,0,4,3,0.75,0,10.666666666666668,2.39
mage_spark,紫焰火花,攻击,普通,爆发,chant/calamity,183,109,0.5956284153005464,0.3486238532110092,650,580,0.8923076923076924,0.43119266055045874,33.31651376146789,3.9113761467889865
mage_aftertone_flow,余音导流,能力,普通,充能,mirror/chant,174,38,0.21839080459770116,0,222,144,0.6486486486486487,0.6842105263157895,8.043859649122806,4.092368421052631
neutral_cycle,星轨流转,能力,稀有,重置/销毁,,171,15,0.08771929824561403,0,62,48,0.7741935483870968,0.5333333333333333,12.177777777777777,4.044666666666667
mage_copy_pierce,复写残响,攻击,史诗,回响/穿甲,mirror/chant,157,76,0.4840764331210191,0,449,389,0.8663697104677061,0.8289473684210527,74.06907894736842,4.446842105263152
mage_thunder,裂界紫雷,攻击,史诗,爆发/回响,chant/mirror,156,100,0.6410256410256411,0,592,540,0.9121621621621622,0.74,136.86333333333334,4.358799999999994
warrior_final_measure,终裁量尺,攻击,史诗,穿甲/重击,execution/oathblade,154,58,0.37662337662337664,0.46551724137931033,499,439,0.8797595190380761,0.6896551724137931,121.92423371647507,4.1213793103448255
warrior_exile_judgement,终誓处刑,攻击,史诗,穿甲/重击,execution/oathblade,147,69,0.46938775510204084,0.5362318840579711,622,586,0.9421221864951769,0.6811594202898551,165.6454106280193,4.132173913043475
archer_green_fang,青牙试射,攻击,普通,剧毒/销毁,venom/gale/exile,140,61,0.4357142857142857,0,315,315,1,0.6153846153846154,28.173076923076923,4.1048076923076895
mage_cascade,星火连祷,能力,史诗,咏唱/复刻,chant/mirror,139,13,0.09352517985611511,0,83,69,0.8313253012048193,0.8461538461538461,15.692307692307692,4.55846153846154
warrior_execute_window,斩首窗口,攻击,史诗,易伤/重击,execution/oathblade,137,47,0.34306569343065696,0.3191489361702128,356,320,0.898876404494382,0.7021276595744681,102.74822695035462,4.15787234042553
neutral_guard,古誓护印,防御,稀有,保留,oathblade,134,47,0.35074626865671643,0,1732,789,0.45554272517321015,0.8936170212765957,19.315314879855894,4.131276595744679
warrior_frenzy_cleave,狂誓裂斩,攻击,史诗,狂热/重击,execution/oathblade,133,9,0.06766917293233082,0,70,49,0.7,0.6666666666666666,28.851234567901233,4.097777777777778
warrior_saintbreaker,圣痕破势,攻击,稀有,圣剑,oathblade/execution,133,40,0.3007518796992481,0,426,310,0.7276995305164319,0.65,49.870535714285715,3.9955
warrior_scaffold_cut,刑架削锋,攻击,稀有,重击,execution/bloodoath/oathblade,133,57,0.42857142857142855,0.05263157894736842,607,494,0.8138385502471169,0.7368421052631579,65.79181286549706,4.063859649122803
neutral_ash_marker,灰烬路标,能力,稀有,易伤,execution,123,4,0.032520325203252036,0,22,21,0.9545454545454546,0.75,0,4.3999999999999995
archer_blood_feather,血羽回收,能力,史诗,出血/回收,venom/exile,122,20,0.16393442622950818,0,184,163,0.8858695652173914,0.75,15.583333333333337,4.272500000000001
archer_sky_skim,掠空轻矢,攻击,普通,追击/销毁,gale/exile,122,26,0.21311475409836064,0,98,97,0.9897959183673469,0.7368421052631579,15.31578947368421,4.10421052631579
warrior_follow,誓约追击,攻击,普通,圣剑,oathblade,122,47,0.38524590163934425,0.2553191489361702,725,676,0.9324137931034483,1,46.98635596082404,4.253191489361699
warrior_duel_cut,断甲决斗,攻击,普通,穿甲,execution,121,82,0.6776859504132231,0.6951219512195121,712,613,0.8609550561797753,0.3780487804878049,56.210104529616714,3.8410975609756086
archer_empty_valley_knife,空谷飞刀,攻击,普通,销毁,exile/gale,119,29,0.24369747899159663,0,117,117,1,0.9047619047619048,16.714285714285715,4.337142857142858
warrior_verdict_feint,裁决佯攻,攻击,普通,连击/销毁,execution,119,40,0.33613445378151263,0,164,152,0.926829268292683,0.4,15.2,3.813714285714286
archer_exile_storm,逐风绝矢,攻击,史诗,放逐/追击,exile/gale,119,43,0.36134453781512604,0.13953488372093023,332,274,0.8253012048192772,0.6511627906976745,77.03682170542635,4.085581395348836
mage_arcane_mark,紫焰刻印,能力,稀有,附魔,chant/calamity,117,22,0.18803418803418803,0,115,44,0.3826086956521739,0.45454545454545453,6.136363636363637,4.00409090909091
archer_ambush,森息伏击,能力,普通,蓄力/销毁,gale/exile,116,42,0.3620689655172414,0,178,175,0.9831460674157303,0.7037037037037037,45.111111111111114,4.134814814814816
warrior_rift_probe,裂隙点刺,攻击,普通,易伤/销毁,execution,116,48,0.41379310344827586,0,249,245,0.9839357429718876,0.4791666666666667,22.5,3.9131249999999986
warrior_execute_step,处刑步法,能力,普通,抽牌/销毁,execution,115,41,0.3565217391304348,0,206,189,0.9174757281553398,0.43902439024390244,20.46747967479675,3.869756097560975
archer_nest_track,回巢轨迹,攻击,史诗,回收/出血,exile/venom,111,62,0.5585585585585585,0,548,422,0.7700729927007299,0.46774193548387094,43.73905529953917,4.041129032258061
warrior_oath_watch,守誓待击,能力,普通,反击/销毁,oathblade,105,10,0.09523809523809523,0,34,34,1,1,0,4.2625
archer_rearguard,游侠断后,攻击,史诗,放逐/蓄力,exile/gale,105,28,0.26666666666666666,0,188,142,0.7553191489361702,0.6428571428571429,82.22500000000001,4.1053571428571445
warrior_flash,裂光一闪,攻击,普通,圣剑,oathblade,105,31,0.29523809523809524,0,447,400,0.8948545861297539,1,33.880376344086024,4.280645161290324
mage_ember_flow,燃魂导流,攻击,稀有,爆发,chant/calamity,102,34,0.3333333333333333,0,193,153,0.7927461139896373,0.5882352941176471,16.372549019607845,4.149705882352942
warrior_open_vein,禁誓开脉,能力,普通,血债/销毁,bloodoath,101,8,0.07920792079207921,0,56,41,0.7321428571428571,1,0,4.2625
mage_decay_wire,腐辉导线,能力,普通,诅咒,calamity,100,23,0.23,0,117,103,0.8803418803418803,0.391304347826087,0,3.867391304347827
warrior_oath_retainer,誓约留锋,防御,普通,保留,oathblade,100,61,0.61,0,2246,1596,0.7105966162065895,0.9344262295081968,37.724545788855124,4.107377049180323
archer_deadbranch_shuffle,残枝洗牌,能力,史诗,回收/蓄力,exile/gale,99,18,0.18181818181818182,0,215,204,0.9488372093023256,0.8333333333333334,40.114197530864196,4.222777777777779
mage_corrupt_mist,蚀星雾,能力,普通,诅咒,calamity,97,29,0.29896907216494845,0,166,129,0.7771084337349398,0.4074074074074074,0,3.8607407407407415
warrior_red_return,残红回锋,攻击,普通,吸血,bloodoath,97,37,0.38144329896907214,0,532,413,0.7763157894736842,0.8108108108108109,28.62184684684685,3.9491891891891893
archer_shadow_box,影匣齐射,攻击,史诗,放逐/追击,exile/gale,94,29,0.30851063829787234,0,208,137,0.6586538461538461,0.6896551724137931,50.3551724137931,4.19241379310345
mage_void_dust,虚弱星尘,攻击,普通,虚弱,calamity,94,55,0.5851063829787234,0,359,323,0.8997214484679665,0.36363636363636365,25.825454545454548,3.8729090909090895
mage_venom_sigils,厄星符阵,能力,普通,虚弱,calamity,92,24,0.2608695652173913,0,185,174,0.9405405405405406,0.4166666666666667,0,3.8904166666666673
mage_void,虚空导引,能力,稀有,咏唱,chant/mirror,91,11,0.12087912087912088,0,63,38,0.6031746031746031,0.6363636363636364,0,4.0572727272727285
mage_echo_index,回声索引,能力,普通,抽牌,mirror,91,34,0.37362637362637363,0,262,149,0.5687022900763359,0.7941176470588235,11.319327731092436,4.181764705882353
warrior_lifebite,偿命追击,攻击,普通,吸血,bloodoath,90,51,0.5666666666666667,0.8235294117647058,768,756,0.984375,0.9607843137254902,80.50435729847493,4.171372549019604
warrior_crest_guard,圣徽举盾,防御,普通,庇护,oathblade,88,43,0.48863636363636365,0,1515,1015,0.66996699669967,0.9534883720930233,32.95187151558731,4.121395348837208
mage_flame,紫焰爆裂,攻击,稀有,爆发,chant/calamity,88,51,0.5795454545454546,0,299,237,0.7926421404682275,0.5098039215686274,52.94117647058823,4.120392156862744
mage_reflect_veil,倒影护幕,防御,普通,回响,mirror,88,63,0.7159090909090909,0,635,466,0.7338582677165354,0.9682539682539683,28.329290180718687,4.537619047619042
mage_lantern_chant,灯火续咏,能力,普通,咏唱,chant,86,30,0.3488372093023256,0,187,158,0.8449197860962567,0.5666666666666667,27.144444444444446,4.0663333333333345
warrior_vein_oath,裂脉誓印,能力,普通,血债,bloodoath,84,8,0.09523809523809523,0,82,69,0.8414634146341463,1,0,4.2
mage_star_surge,星涌短波,攻击,普通,爆发,chant,84,37,0.44047619047619047,0.32432432432432434,238,207,0.8697478991596639,0.5405405405405406,41.00675675675676,4.046216216216216
warrior_crimson_pause,猩红喘息,能力,普通,血债,bloodoath,83,13,0.1566265060240964,0,355,289,0.8140845070422535,0.8461538461538461,102.97094465363699,4.006923076923078
mage_mirror_trial,镜页试抄,能力,普通,复刻,mirror,81,21,0.25925925925925924,0,166,114,0.6867469879518072,0.9,13.567142857142859,4.535500000000001
warrior_blood_tide,血潮续斩,攻击,史诗,放血/血债,bloodoath,81,34,0.41975308641975306,0,367,324,0.8828337874659401,0.8823529411764706,60.87605042016806,4.085294117647059
warrior_bleed_edge,誓血裂口,攻击,普通,血债,bloodoath,81,42,0.5185185185185185,0.09523809523809523,446,424,0.9506726457399103,0.8571428571428571,36.08571428571429,3.9761904761904754
mage_star_precharge,星核预充,能力,普通,咏唱,chant,80,7,0.0875,0,34,26,0.7647058823529411,0.5714285714285714,0,4.274285714285714
warrior_martyr_cut,殉誓斩,攻击,普通,血债/销毁,bloodoath,80,28,0.35,0,152,150,0.9868421052631579,0.8571428571428571,29.25,3.97357142857143
mage_omen,星屑预兆,能力,普通,咏唱/销毁,chant,78,3,0.038461538461538464,0,11,11,1,0.6666666666666666,0,4.466666666666667
warrior_debt_scar,血债留痕,攻击,普通,血债,bloodoath,78,36,0.46153846153846156,0,510,318,0.6235294117647059,0.7777777777777778,21.021296296296295,3.9786111111111118
mage_reflection_note,倒影批注,能力,普通,复刻/销毁,mirror,77,21,0.2727272727272727,0,106,103,0.9716981132075472,0.8421052631578947,21.473684210526315,4.3294736842105275
mage_ember,余烬点燃,攻击,普通,爆发/销毁,chant,77,26,0.33766233766233766,0,127,124,0.9763779527559056,0.5,18.153846153846153,3.936538461538462
archer_empty_string,空弦藏牌,能力,普通,放逐,exile,75,10,0.13333333333333333,0,27,26,0.9629629629629629,1,69,4.7
mage_exile_nova,裂星禁术,攻击,史诗,爆发,chant,75,29,0.38666666666666666,0.13793103448275862,139,120,0.8633093525179856,0.5517241379310345,75.74137931034483,4.14793103448276
warrior_devour_finish,噬痕终击,攻击,史诗,吸血,bloodoath,75,50,0.6666666666666666,0,483,383,0.7929606625258799,0.98,98.88882683982685,4.212799999999997
mage_solar_refill,恒星回填,能力,史诗,咏唱,chant,72,2,0.027777777777777776,0,13,8,0.6153846153846154,1,0,4.7
archer_leaf_reload,叶片换弦,能力,普通,自然,gale,72,5,0.06944444444444445,0,54,51,0.9444444444444444,1,74.83333333333333,4.2
archer_pulse_burst,残脉连扣,能力,普通,放血,venom,70,13,0.18571428571428572,0,51,29,0.5686274509803921,0,0,3.391666666666667
warrior_blood_debt,血债清算,攻击,史诗,血债/吸血,bloodoath,70,35,0.5,0,403,317,0.7866004962779156,0.8571428571428571,60.51112244897961,4.07
