type,leftName,rightName,runs,wins,winRate
遗物+卡牌,圣剑誓印,誓约追击,27,27,1
遗物+卡牌,圣剑誓印,誓旗护阵,24,24,1
遗物+卡牌,秘仪魔镜,倒影护幕,23,23,1
遗物+卡牌,圣剑誓印,裂光一闪,22,22,1
遗物+卡牌,蔷薇重盾,誓约追击,21,21,1
遗物+卡牌,圣壁石甲,遗迹立誓,19,19,1
遗物+卡牌,蔷薇重盾,裂光一闪,18,18,1
遗物+卡牌,圣壁石甲,魂誓换锋,17,17,1
遗物+卡牌,圣壁石甲,裂光一闪,17,17,1
遗物+卡牌,命债天平,沸血突进,16,16,1
遗物+卡牌,蔷薇重盾,魂誓换锋,15,15,1
遗物+卡牌,棘辉冠冕,誓约追击,14,14,1
遗物+卡牌,圣壁石甲,誓旗护阵,14,14,1
遗物+卡牌,圣壁石甲,终誓处刑,14,14,1
遗物+卡牌,棘辉冠冕,刑架削锋,14,14,1
遗物+卡牌,圣壁石甲,誓壁反转,14,14,1
遗物+遗物,赤线缝针,圣盾甲片,14,14,1
遗物+遗物,血池圣印,命债天平,14,14,1
遗物+遗物,古誓护印,银纹钱袋,14,14,1
遗物+遗物,启程星图,余烬护符,14,14,1
遗物+卡牌,分羽箭尾,猎手翻步,14,14,1
遗物+遗物,圣壁石甲,棘辉冠冕,13,13,1
遗物+卡牌,棘辉冠冕,遗迹立誓,13,13,1
遗物+遗物,命债天平,蔷薇重盾,13,13,1
遗物+遗物,命债天平,圣棘花冠,13,13,1
遗物+卡牌,弑王刻印,噬痕终击,13,13,1
遗物+遗物,蓄咏水晶,银纹钱袋,13,13,1
遗物+卡牌,踏风箭囊,古誓护印,13,13,1
遗物+卡牌,分羽箭尾,古誓护印,13,13,1
遗物+卡牌,棘辉冠冕,冷铁护页,12,12,1
遗物+卡牌,棘辉冠冕,魂誓换锋,12,12,1
遗物+遗物,命债天平,圣壁石甲,12,12,1
遗物+卡牌,圣壁石甲,古誓护印,12,12,1
遗物+卡牌,聚爆透镜,星火连祷,12,12,1
遗物+卡牌,棘辉冠冕,誓壁反转,11,11,1
遗物+卡牌,赤线缝针,圣徽举盾,11,11,1
遗物+遗物,圣棘花冠,圣剑誓印,11,11,1
遗物+卡牌,圣剑誓印,棘甲冲锋,11,11,1
遗物+遗物,启程星图,圣剑誓印,11,11,1
遗物+遗物,圣盾甲片,棘辉冠冕,11,11,1
遗物+遗物,赤线缝针,灰市地图,11,11,1
遗物+卡牌,蔷薇重盾,誓壁反转,11,11,1
遗物+遗物,连斩密令,命债天平,11,11,1
遗物+遗物,猎英徽记,启程星图,11,11,1
遗物+遗物,职业秘卷,余烬护符,11,11,1
遗物+遗物,弑王刻印,余烬护符,11,11,1
遗物+遗物,聚爆透镜,回声书签,11,11,1
遗物+遗物,恒咏墨瓶,咏唱玉坠,11,11,1
遗物+遗物,秘仪魔镜,连祷狂热,11,11,1
遗物+遗物,营火锦囊,回风刀鞘,11,11,1
遗物+遗物,猎痕短刃,回风刀鞘,11,11,1
遗物+卡牌,复写印泥,古誓护印,10,10,1
遗物+卡牌,棘辉冠冕,裂光一闪,10,10,1
遗物+卡牌,弃赏王冠,古誓护印,10,10,1
遗物+遗物,断罪剑鞘,银纹钱袋,10,10,1
遗物+卡牌,蔷薇重盾,棘甲冲锋,10,10,1
遗物+遗物,圣棘花冠,蔷薇重盾,10,10,1
遗物+卡牌,血池圣印,誓约留锋,10,10,1
遗物+卡牌,棘辉冠冕,王誓蓄锋,10,10,1
遗物+卡牌,招架门徽,誓约追击,10,10,1
遗物+卡牌,猎英徽记,誓约留锋,10,10,1
遗物+遗物,裂甲刻尺,圣剑誓印,10,10,1
遗物+卡牌,流转沙漏,誓约追击,10,10,1
遗物+遗物,猎英徽记,灰市地图,10,10,1
遗物+遗物,赤线缝针,启程星图,10,10,1
遗物+遗物,流转沙漏,招架门徽,10,10,1
遗物+遗物,圣棘花冠,古誓护印,10,10,1
遗物+遗物,赤线缝针,决斗手甲,10,10,1
遗物+卡牌,余烬护符,偿命追击,10,10,1
遗物+遗物,赤线缝针,余烬护符,10,10,1
遗物+卡牌,誓血导管,偿命追击,10,10,1
遗物+遗物,聚爆透镜,占星牌匣,10,10,1
遗物+遗物,磨锋砥石,聚爆透镜,10,10,1
遗物+遗物,复写印泥,回声书签,10,10,1
遗物+遗物,源能核心,恒咏墨瓶,10,10,1
遗物+遗物,聚爆透镜,破势面具,10,10,1
遗物+遗物,聚爆透镜,秘仪魔镜,10,10,1
遗物+卡牌,弑王刻印,倒影护幕,10,10,1
遗物+卡牌,秘仪魔镜,转录法环,10,10,1
遗物+卡牌,异状账簿,倒影护幕,10,10,1
