floor,chapter,reached,deaths,deathRate,battleWinRate,averageHpLeft,averageBattleTurns,averageDamageTaken
1,1,468,0,0,1,76.67525773195877,3.6804123711340204,6.128865979381444
2,1,468,0,0,1,72.79735682819383,4.096916299559472,8.964757709251101
3,1,468,2,0.004273504273504274,0.9906542056074766,70.71698113207547,3.985981308411215,9.35981308411215
4,1,466,0,0,1,66.19473684210526,3.268421052631579,9.026315789473685
5,1,466,2,0.004291845493562232,0.990521327014218,65.49760765550239,4.170616113744076,10.834123222748815
6,1,464,0,0,0,0,0,0
7,1,464,6,0.01293103448275862,0.9870689655172413,57.019650655021834,4.099137931034483,16.405172413793103
8,2,458,1,0.002183406113537118,0.995,67.21608040201005,4.09,14.375
9,2,457,5,0.010940919037199124,0.9748743718592965,65.03092783505154,3.8341708542713566,13.92964824120603
10,2,452,9,0.01991150442477876,0.953125,62.89071038251366,3.828125,14.916666666666666
11,2,443,10,0.022573363431151242,0.9489795918367347,60.16129032258065,3.811224489795918,14.341836734693878
12,2,433,10,0.023094688221709007,0.9418604651162791,57.611111111111114,4.401162790697675,19.023255813953487
13,2,423,0,0,0,0,0,0
14,2,423,28,0.06619385342789598,0.933806146572104,53.063291139240505,6.267139479905437,23.3451536643026
15,3,395,7,0.017721518987341773,0.9554140127388535,60.93333333333333,4.503184713375796,24.019108280254777
16,3,388,12,0.030927835051546393,0.9254658385093167,61.671140939597315,4.540372670807454,23.937888198757765
17,3,376,13,0.034574468085106384,0.9071428571428571,55.031496062992126,4.578571428571428,28.835714285714285
18,3,363,18,0.049586776859504134,0.8922155688622755,54.49664429530201,4.341317365269461,24.508982035928145
19,3,345,0,0,0,0,0,0
20,3,345,63,0.1826086956521739,0.8173913043478261,54.354609929078016,6.3072463768115945,27.484057971014494
